Table 3.21. Net Generation from Solar Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, by Sector, 2021 and 2020 (Thousand Megawatthours)",,,,,,,,,,,,,,,,,,,,,,,,,
,All Sectors,,,,,,,Electric Power Sector,,,,Commercial Sector,,,,,,Industrial Sector,,,,,,Residential Sector,
Iowa,472,232,103.3%,225,22,247,210,9,10,216,12,146,129,0,0,146,129,9,8,0,0,9,8,91,73
Kansas,122,106,15.3%,61,58,61,48,3,3,58,55,22,19,0,0,22,19,0,0,0,0,0,0,38,29
Minnesota,"2,077","1,773",17.1%,"1,893","1,634",183,140,33,19,"1,861","1,614",52,44,0,0,52,44,21,17,0,0,21,17,110,79
Missouri,549,461,19.1%,116,101,433,360,18,13,98,87,172,158,0,1,172,158,10,7,0,0,10,7,251,195
Nebraska,86,74,15.6%,61,54,25,20,8,8,53,46,8,8,0,0,8,8,3,1,0,0,3,1,15,12
North Dakota,1,1,50.6%,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
South Dakota,4,4,6.1%,2,2,2,2,0,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1
South Atlantic,"34,880","25,868",34.8%,"30,266","22,220","4,614","3,648","10,807","7,318","19,311","14,764","1,103",950,141,131,962,819,378,372,7,7,371,364,"3,282","2,464"
Delaware,196,183,7.3%,57,54,139,128,6,6,50,48,31,32,2,0,30,31,12,11,0,0,12,11,97,86
District of Columbia,166,131,26.6%,18,13,148,119,0,0,18,13,61,56,0,0,61,56,0,0,0,0,0,0,87,63
Florida,"10,725","7,597",41.2%,"9,020","6,480","1,705","1,117","8,076","5,704",934,764,212,163,7,8,205,155,19,19,3,3,16,16,"1,484",947
Georgia,"5,241","4,109",27.5%,"4,868","3,780",372,329,589,353,"4,277","3,423",63,51,2,3,61,48,254,251,0,0,254,251,57,30
Maryland,"1,657","1,522",8.9%,632,527,"1,025",994,8,8,608,503,308,271,17,17,292,254,28,30,0,0,28,30,705,710
North Carolina,"10,578","8,633",22.5%,"10,123","8,274",455,360,762,574,"9,249","7,599",254,232,112,101,141,131,15,14,0,0,15,14,299,214
South Carolina,"2,707","2,092",29.4%,"2,280","1,722",428,371,8,7,"2,267","1,711",84,76,0,0,84,76,47,44,4,4,43,40,301,255
Virginia,"3,588","1,585",126.4%,"3,267","1,371",320,214,"1,358",666,"1,908",703,83,65,2,2,81,63,3,3,0,0,3,3,236,148
West Virginia,22,15,43.3%,0,0,22,15,0,0,0,0,6,5,0,0,6,5,0,0,0,0,0,0,15,11
East South Central,"1,497","1,336",12.0%,"1,303","1,166",193,169,72,68,"1,222","1,087",114,109,4,5,110,103,9,8,6,6,3,3,80,63
Alabama,513,384,33.6%,494,369,19,15,24,27,470,342,13,10,0,0,13,10,1,1,0,0,1,1,4,3
Kentucky,115,94,23.1%,46,43,69,51,45,41,1,1,28,23,0,0,28,23,2,1,0,0,2,1,40,26
Mississippi,441,445,-0.9%,425,430,16,15,0,0,425,430,7,8,0,0,7,8,1,0,0,0,1,0,8,7
Tennessee,427,413,3.4%,339,325,89,89,3,0,326,314,65,67,4,5,61,62,6,6,6,6,0,0,28,27
West South Central,"18,372","10,899",68.6%,"15,606","8,912","2,765","1,987",129,89,"15,453","8,800",508,389,21,22,486,367,34,31,3,0,31,31,"2,248","1,589"
Arkansas,631,358,76.1%,462,272,169,86,6,2,434,252,81,41,19,19,62,22,30,26,3,0,27,26,80,38
Louisiana,407,296,37.4%,146,39,261,257,35,4,111,35,18,19,0,0,18,19,0,0,0,0,0,0,242,238
Oklahoma,128,93,37.9%,77,63,52,30,73,63,4,0,8,6,0,0,8,6,1,1,0,0,1,1,43,23
Texas,"17,205","10,151",69.5%,"14,921","8,537","2,284","1,614",15,21,"14,903","8,513",400,323,2,3,397,320,3,4,0,0,3,4,"1,884","1,290"
Mountain,"26,964","22,607",19.3%,"20,168","17,076","6,797","5,530","1,321","1,313","18,761","15,664","1,681","1,500",80,92,"1,601","1,408",107,79,6,7,100,72,"5,096","4,050"
Arizona,"9,387","7,974",17.7%,"6,016","5,062","3,371","2,912",732,713,"5,265","4,337",953,862,19,12,934,850,14,14,0,0,14,14,"2,423","2,048"
Colorado,"2,786","2,204",26.4%,"1,730","1,504","1,056",701,13,9,"1,707","1,478",297,241,10,17,287,224,19,3,0,0,19,3,750,473
Idaho,684,653,4.8%,565,566,119,87,0,0,562,563,10,8,0,0,10,8,15,8,3,3,12,5,97,74
Montana,76,67,14.4%,33,33,43,34,0,0,33,33,12,10,0,0,12,10,0,0,0,0,0,0,30,24
Nevada,"7,485","6,300",18.8%,"6,415","5,427","1,071",872,185,194,"6,175","5,166",173,180,51,63,122,117,45,42,4,4,42,38,907,717
New Mexico,"2,212","2,114",4.7%,"1,750","1,749",462,365,390,397,"1,360","1,351",120,96,0,0,120,96,1,1,0,0,1,1,342,268
Utah,"4,137","3,117",32.7%,"3,479","2,571",657,546,0,0,"3,479","2,571",114,101,0,0,114,101,11,10,0,0,11,10,532,436
Wyoming,197,178,10.4%,179,165,18,13,0,0,179,165,3,2,0,0,3,2,0,0,0,0,0,0,15,10
Pacific Contiguous,"54,807","47,091",16.4%,"34,345","29,176","20,462","17,915",426,458,"33,646","28,506","4,993","4,405",187,160,"4,806","4,245","2,877","2,544",87,52,"2,790","2,492","12,866","11,178"
California,"52,682","45,460",15.9%,"32,834","28,053","19,849","17,407",414,452,"32,146","27,389","4,840","4,271",187,160,"4,653","4,111","2,860","2,527",87,52,"2,773","2,475","12,422","10,821"
Oregon,"1,766","1,335",32.3%,"1,461","1,078",305,257,5,5,"1,456","1,073",108,99,0,0,108,99,16,16,0,0,16,16,180,143
Washington,359,296,21.2%,50,46,308,250,7,0,43,45,44,36,0,0,44,36,1,1,0,0,1,1,264,213
Pacific Noncontiguous,"1,770","1,701",4.0%,507,484,"1,263","1,217",79,81,427,403,481,466,0,0,480,466,4,4,0,0,4,4,779,748
Alaska,12,7,82.2%,0,0,12,7,0,0,0,0,4,2,0,0,4,2,0,0,0,0,0,0,8,5
Hawaii,"1,758","1,695",3.7%,507,484,"1,251","1,211",79,81,427,403,476,464,0,0,476,464,4,4,0,0,4,4,771,743
U.S. Total,"161,499","127,588",26.6%,"112,335","86,066","49,164","41,522","13,883","9,915","97,717","75,464","15,722","13,445",598,586,"15,124","12,859","3,994","3,586",137,101,"3,858","3,484","30,182","25,179"
"Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
NM = Not meaningful due to large relative standard error or excessive percentage change.
Notes: See Glossary for definitions. Values are final. See Technical Notes for a discussion of the sample design for the Form EIA-923.
Negative generation denotes that electric power consumed for plant use exceeds gross generation.
Totals may not equal sum of components because of independent rounding. Percentage change is calculated before rounding.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report;
Estimated small scale solar photovoltaic generation and small scale solar photovoltaic capacity are based on data from Form EIA-861M, Form EIA-861 and from estimation methods described in the technical notes.",,,,,,,,,,,,,,,,,,,,,,,,,
