summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehucle_body_type,vehicle_make ,issuing_agency ,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,intersecting_street,law_section,sub_division,days_parking_in_effect,from_hours_in effect,to_hours_in_effect,vehicle_color,unregistered,vehicle_year,meter_number,feet_from_curb,,,,,
1355851117.00,ATL8729,NY,PAS,9/18/19,83,VAN,FORD,P,78850,48020,8320,20150517,49,49,49,925849,49,0,0141A,BX,O,2516,YATES,,408,F1,BBBBBBB,ALL,ALL,WH,0,2001,-,0,,,,,
1361447590.00,82174JW,NY,COM,9/18/19,46,VAN,FORD,P,0,40404,40404,0,68,68,68,942109,68,0,0207P,K,F,149,MAUL AVE,,408,99,BBBBBBB,ALL,ALL,WHT,0,2007,-,0,,,,,
1361532361.00,GHR2815,NY,PAS,9/19/19,14,SUBN,CADIL,P,34690,10510,10610,20150831,14,14,401,925923,401,0,0434P,NY,F,145,W 46 ST,,408,C,BBBBBBB,ALL,ALL,BK,0,2011,-,0,,,,,
1354625330.00,F2M7808,NY,PAS,9/19/19,62,SUBN,FORD,P,0,0,0,20150207,107,107,102,939381,102,0,0145A,Q,,,C/O 192 ST AND,190 LANE,408,J6,BBBBBBB,ALL,ALL,GRN,0,0,-,0,,,,,
1355163110.00,DWV8370,NY,PAS,9/19/19,19,SUBN,FORD,P,40930,50050,36180,20150119,70,70,70,950047,70,0,0912A,K,F,1594,FLATBUSH AVE,,408,C3,BBBBBBB,ALL,ALL,GY,0,2007,-,0,,,,,
1360174497.00,Z17CUD,NJ,PAS,9/20/19,19,SDN,BMW,P,29830,32130,74630,0,76,76,76,947423,76,0,1156A,K,F,316,COURT ST,,408,F1,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1360833020.00,GEL3336,NY,PAS,9/20/19,46,SUBN,FORD,X,42820,22120,74330,20150428,44,44,44,930341,44,0,1158A,BX,F,1230,JEROME AVE,,408,F1,BBBBBBB,ALL,ALL,RED,0,2001,-,0,,,,,
1361532002.00,62417JM,NY,COM,9/20/19,46,VAN,,P,18710,27790,24890,20141031,19,19,406,926583,406,0,0406P,NY,F,120,E 86 ST,,408,F1,BBBBBBB,ALL,ALL,BR,0,0,-,0,,,,,
1360930498.00,BTD0774,GA,PAS,9/20/19,20,SDN,CHRYS,P,36710,15910,11710,0,30,30,30,923316,30,0,0305A,NY,F,461,W 147 ST,,408,F1,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1360515150.00,GEL3797,NY,PAS,9/21/19,67,SUBN,DODGE,P,0,0,0,20150519,50,50,50,944345,50,0,0255A,BX,,,C/O TEUNISSEND PL,TERRACEVIEW AVE,408,M2,BBBBBBB,ALL,ALL,GY,0,2007,-,0,,,,,
1355851178.00,90471JY,NY,COM,9/23/19,78,VAN,FORD,P,61220,13320,60420,20131110,49,49,49,925849,49,0,0403A,BX,F,959,RHINELANDER,,408,D,BBBBBBB,ALL,ALL,W,0,2009,-,0,,,,,
1356879731.00,1195687,IN,PAS,9/24/19,46,TRLR,,P,13610,36990,37010,0,33,33,33,926024,33,0,1111A,NY,F,3871,BROADWAY,,408,F1,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1356007053.00,228358N,NJ,PAS,9/30/19,40,SUBN,ROVER,P,70620,52420,75370,0,46,46,163,954101,163,0,0258A,BX,F,1895,UNIVERSITY AVE,,408,D,BBBBBBB,ALL,ALL,WHITE,0,2008,-,0,,,,,
1355516146.00,T626264C,NY,SRF,10/2/19,21,SUBN,TOYOT,S,5780,8780,8830,20140331,72,72,0,921836,KS07,0,1140A,K,F,4419,7TH AVE,,408,K2,BBYBBBB,1130A,0100P,SILVE,0,2007,-,0,,,,,
1359471066.00,GCS796,NY,PAS,10/3/19,78,VAN,CHEVR,P,24740,9690,57790,20140731,109,109,109,932650,109,0,0205A,Q,F,42-19,172 ST,,408,J7,BBBBBBB,0900P,0500A,BLUE,0,2006,-,0,,,,,
1361492223.00,63879MB,NY,COM,10/3/19,46,VAN,FORD,P,27790,18410,18430,20140131,19,19,401,923913,401,0,0745P,NY,F,747,PARK AVE,,408,F1,BBBBBBB,ALL,ALL,WH,0,2012,-,0,,,,,
1349546306.00,TNF81A,NJ,PAS,10/4/19,67,TRLR,,P,0,0,0,0,90,90,90,931679,90,0,0255P,K,,,N/E C/O STEWART AVE,TEN E IKE ST,408,F7,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1360755251.00,96171MA,NY,COM,10/8/19,46,DELV,,X,24490,11710,13610,0,26,26,26,936461,26,0,1058P,NY,F,55,LASALLE,,408,F1,BBBBBBB,ALL,ALL,BROWN,0,0,-,0,,,,,
1361345380.00,66073JW,NY,COM,10/8/19,46,VAN,WORK,X,10210,18330,18350,0,19,19,19,945620,19,0,0200P,NY,F,1160,3RD AVE,,408,F1,BBBBBBB,ALL,ALL,BROWN,0,2007,-,0,,,,,
1361352681.00,GCG3463,NY,PAS,10/9/19,98,SUBN,JEEP,P,37350,12010,31190,20141112,34,34,162,953054,162,0,1226A,NY,O,550,W 180 ST,,408,D,BBBBBBB,ALL,ALL,WH,0,2013,-,0,,,,,
1355851233.00,GEK9116,NY,PAS,10/10/19,78,VAN,CHEVR,P,0,40404,40404,20150430,49,49,49,925849,49,0,0250A,BX,F,2805,BANKER,,408,J3,BBBBBBB,ALL,ALL,WH,0,2009,-,0,,,,,
1353335264.00,AL353U,NJ,PAS,10/11/19,47,DELV,FRUEH,X,10810,34890,34910,0,18,18,0,348553,0NIC,0,0251P,NY,O,956,8 AVE,,408,L2,YYYYYYB,0700A,0700P,GR,0,0,-,0,,,,,
1351586361.00,GGC4192,NY,PAS,10/18/19,46,SUBN,ME/BE,P,89730,45930,43330,20150430,88,88,88,928399,88,0,0851A,K,O,407,WASHINGTON AVE,,408,F1,BBBBBBB,ALL,ALL,WH,0,2013,-,0,,,,,
1361091472.00,FYY9606,NY,PAS,10/18/19,98,SDN,BMW,X,67730,20630,14780,20140513,61,61,61,948414,61,0,0237P,K,F,2380,OCEAN PKWY,,408,F1,BBBBBBB,ALL,ALL,RED,0,2001,-,0,,,,,
1355398812.00,EER9446,NY,PAS,10/20/19,27,SUBN,HONDA,X,0,40404,40404,20131009,25,25,1,160195,1,0,0935A,NY,O,,FIELD 16 SUNKEN MEAD,,408,J2,BBBBBBB,ALL,ALL,GRN,0,2012,-,0,,,,,
1361639143.00,CBF6732,GA,PAS,10/21/19,19,SDN,CHEVR,P,0,40404,40404,0,81,81,81,902700,81,0,1027A,K,,167,MARCUS GARVEY,,408,C3,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1359801716.00,12866KA,NY,COM,10/31/19,46,DELV,FORD,P,27790,18450,18470,0,19,19,19,935771,19,0,0339P,NY,O,791,PARK AVE,,408,F1,BBBBBBB,ALL,ALL,WHITE,0,2009,-,0,,,,,
1359474237.00,FPZ7209,NY,PAS,11/3/19,71,SUBN,ACURA,P,23140,7690,29790,20130921,109,109,109,948394,109,0,0432A,Q,O,29-03,148 ST,,408,E2,BBBBBBB,ALL,ALL,BLK,0,2011,-,0,,,,,
1347743637.00,EGW4738,NY,PAS,11/9/19,14,SDN,TOYOT,P,0,40404,40404,20140320,79,79,165,954336,165,0,0228P,K,F,1450,FULTON,,408,F1,BBBBBBB,ALL,ALL,GY,0,2011,-,0,,,,,
1356900811.00,TRFO,NJ,PAS,11/11/19,21,DELV,MAZDA,P,13610,36990,37010,0,33,33,33,926024,33,0,0010P,,O,3875,BROADWAY,,408,F1,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1362766367.00,AE18719,AZ,PAS,11/11/19,78,DELV,FORD,P,0,0,0,0,26,26,26,915956,26,0,0119A,NY,,,N/W C/O 124 ST,RIVER SIDE DRIVE,408,K6,BBBBBBB,0900P,0500A,WHITE,0,0,-,0,,,,,
1361895895.00,12210ME,NY,COM,11/12/19,21,VAN,FORD,S,10880,5430,5580,20150930,68,68,0,614651,KS10,0,0840A,K,F,432,86TH STREET,,408,D1,YYYYYYB,0830A,0900A,WHITE,0,2007,-,0,,,,,
1353662070.00,31583JU,NY,COM,11/15/19,45,DELV,HINO,T,7990,16590,16740,20140430,115,115,109,354121,T109,0,0908A,Q,F,80-18,31 AVE,,408,C,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1357916530.00,FTX8595,NY,PAS,11/15/19,67,SDN,ME/BE,P,0,0,0,20140511,52,52,52,930665,52,0,0802A,BX,O,,C/O E 211 ST,PERRY AVE,408,F7,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,
1359382641.00,RA4406T,QB,PAS,11/18/19,78,TRLR,,P,65120,67920,60520,0,43,43,43,944887,43,0,1031P,BX,F,575,SOUNDVIEW AVE,,408,K6,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1359053438.00,3515321,PA,PAS,11/18/19,40,SDN,LEXUS,P,42630,9280,9330,20131129,66,66,66,947779,66,0,0905P,K,F,5411,FORT HAMILTON PKWY,,408,E2,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1359592775.00,GBK7343,NY,PAS,11/18/19,20,SUBN,NISSA,P,5580,43130,5080,20140930,78,78,78,949702,78,0,1045P,K,O,276,5 AVE,,408,E2,BBBBBBB,ALL,ALL,SILVE,0,2012,-,0,,,,,
1361806552.00,U90AVB,NJ,PAS,11/20/19,19,SUBN,TOYOT,P,59430,13830,29630,0,66,66,66,933370,66,0,0800P,K,F,660,MC DONALD AVE,,408,C3,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1361428260.00,BLANKPLATE,99,999,11/20/19,74,SDN,,P,0,40404,40404,0,60,60,60,905236,60,0,0330P,K,,2851,BR 7,,408,J2,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1362021090.00,ENX6168,NY,PAS,11/21/19,98,SDN,NISSA,P,64830,69330,81430,20141231,77,77,77,935374,77,0,0153A,K,F,222,NEW YORK AVE,,408,C,BBBBBBB,ALL,ALL,BLACK,0,1998,-,0,,,,,
1364391089.00,XAZE95,NJ,PAS,11/22/19,85,DELV,MERCU,P,68930,45030,26730,0,78,78,77,905068,77,0,0936A,K,F,1000,PACIFIC ST,,408,J3,YYBYYYY,ALL,ALL,WH,0,0,-,0,,,,,
1355859189.00,FDY3862,NY,PAS,11/24/19,46,SUBN,DODGE,P,38720,59720,55720,20140921,49,49,49,939466,49,0,1119A,BX,F,2090,HAVILAND AVE,,408,D1,BBBBBBB,ALL,ALL,GRAY,0,2009,-,0,,,,,
1356349286.00,BD96835,NY,999,11/30/19,66,TRLR,,P,75760,75730,60530,0,90,90,90,947046,90,0,1030P,K,O,188,SCOTT AVE,,408,F1,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1361733056.00,GFR2519,NY,PAS,12/2/19,71,SDN,TOYOT,P,24140,5490,5590,20150430,109,109,109,950372,109,0,1030A,Q,O,5-Sep,162 ST,,408,J6,BBBBBBB,ALL,ALL,BK,0,2002,-,0,,,,,
1358961852.00,49797K,NY,COM,12/13/19,46,VAN,MERCU,P,10510,34630,34650,20140228,14,14,14,950564,14,0,0919A,NY,F,1133,6 AVE,,408,C,BBBBBBB,ALL,ALL,RED,0,1992,-,0,,,,,
1362927922.00,R598613,IL,PAS,12/15/19,98,SDN,BMW,P,10640,6590,42490,0,114,114,114,931550,114,0,0138A,Q,F,21-70,48 ST,,408,F2,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1358599397.00,49216KA,NY,COM,12/16/19,46,VAN,FORD,P,10410,18570,18590,0,19,19,19,928976,19,0,0859A,NY,F,985,5TH AVE,,408,F1,BBBBBBB,ALL,ALL,WHITE,0,2009,-,0,,,,,
1354203884.00,80330,NY,MED,12/18/19,20,SUBN,LEXUS,P,0,0,0,20151128,19,19,19,947632,19,0,1000P,NY,,,S/S 80 ST,15 E/O EAST END AVE,408,F1,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,,
1357241940.00,R98DCZ,NJ,PAS,12/18/19,20,SDN,ME/BE,P,17530,10210,10110,0,13,13,13,948662,13,0,0918P,NY,O,235,E.27 ST,,408,D1,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1356931698.00,42998JV1,99,999,12/18/19,46,DELV,INTER,P,13610,37170,37190,20131231,33,33,33,926029,33,0,0833A,NY,O,4055,BROADWAY,,408,E1,BBBBBBB,ALL,ALL,BEIGE,0,2007,-,0,,,,,
1358576427.00,90675JE,NY,COM,12/18/19,46,DELV,,X,10210,18490,18510,20141130,19,19,19,928976,19,0,1212P,NY,O,1319,3RD AVENUE,,408,F1,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1354203860.00,228XP9,MA,PAS,12/18/19,20,SDN,HONDA,P,0,0,0,20150930,19,19,19,947632,19,0,1000P,NY,,,S/S 80 ST,5 E/O EAST END AVE,408,E1,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1347699946.00,FRH7650,NY,PAS,12/18/19,70,FOUR,HONDA,P,73050,85730,85330,20131215,79,79,165,952485,165,0,1119P,K,F,433,QUINCY ST,,408,E2,BBBBBBB,ALL,ALL,WHITE,0,1996,-,0,,,,,
1364831612.00,FZJ7378,NY,PAS,12/18/19,40,SDN,TOYOT,P,72230,67030,64830,20140525,71,71,164,954302,164,0,0133P,K,F,1244,PRESIDENT ST,,408,F1,BBBBBBB,ALL,ALL,RED,0,2010,-,0,,,,,
1336840663.00,H273402,NJ,PAS,12/20/19,21,,VOLKS,P,47290,40404,40404,0,104,104,0,903574,QE11,0,0820A,Q,O,105-31,GRAND AVE,,408,D1,YYYYYYB,0800A,0830A,BLACK,0,0,-,0,,,,,
1362632661.00,62892JM,NY,COM,12/20/19,14,DELV,FRUEH,P,30370,0,41720,0,45,45,45,928237,45,0,0614P,BX,F,120,EINSTEIN LOOP,,408,F2,BBBBBBB,ALL,ALL,BRN,0,0,-,0,,,,,
1358331960.00,2100105,NY,TRA,12/20/19,46,SDN,CHEVR,P,68020,26670,26700,20140430,42,42,42,931315,42,0,1230P,BX,F,3495,3RD AVE,,408,J6,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1362762027.00,FDE4515,NY,PAS,12/20/19,40,SUBN,ROVER,P,18730,10210,10110,20140727,19,19,19,906453,19,0,0536P,,F,217,E 87 ST,,408,D,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1359194198.00,GDY5932,NY,PAS,12/23/19,46,SUBN,,X,0,40404,40404,20150213,79,79,165,953897,165,0,0853P,K,F,69,KERKIMER ST,,408,C3,BBBBBBB,ALL,ALL,WHITE,0,1996,-,0,,,,,
1359045703.00,FWY4069,NY,PAS,12/30/19,46,SUBN,,P,5780,9380,9430,20140507,72,72,72,937074,72,0,0555P,K,F,5620,7 AVE,,408,C3,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1360995912.00,701PNR,CT,PAS,1/18/20,14,SDN,BUICK,P,25090,31490,19890,0,7,7,17,943718,17,0,1147P,NY,F,165,LUDLOW ST,,408,M5,BBBBYYY,1100P,0600A,BK,0,0,-,0,,,,,
1362403349.00,AJD6978,NY,PAS,2/19/20,40,SDN,BMW,P,0,0,0,20150323,104,104,104,939236,104,0,0410A,Q,,,N/E 78 AVE,C/O 69 RD,408,E2,BBBBBBB,0:00,0:00,BK,0,2004,-,0,,,,,
1353670521.00,95308MD,NY,COM,2/21/20,14,VAN,FRUEH,T,32080,18150,18170,0,17,17,0,345236,0NIC,0,0122P,NY,F,40,SUTTON PLACE,,408,J3,YYYYYBB,0700A,0700P,BR,0,2014,-,0,,,,,
1364454890.00,FZL7515,NY,COM,3/19/20,81,VAN,FORD,P,16240,22740,54580,20150808,107,107,107,942244,107,0,1235A,Q,O,141-42,78 RD,,408,K6,BBBBBBB,ALL,ALL,WHITE,0,2006,-,0,,,,,
1366159366.00,13667MD,NY,COM,3/19/20,46,DELV,KENW,P,24890,18030,18050,20150331,17,17,17,943575,17,0,0935A,NY,F,599,LEXINGTON AVE,,408,F1,BBBBBBB,ALL,ALL,RED,0,2013,-,0,,,,,
1367151235.00,993XJ9,MA,PAS,3/19/20,20,SUBN,CHEVR,P,35410,15710,11710,0,20,20,20,935822,20,0,0121A,NY,F,160,W 82 ST,,408,K6,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1363234055.00,63555JM,NY,COM,4/13/20,46,DELV,GMC,P,0,40404,40404,0,20,20,428,899477,428,0,0528P,NY,F,307,AMSTERDAM,,408,C,BBBBBBB,ALL,ALL,BROWN,0,1990,-,0,,,,,
1367559420.00,GLD4983,PA,PAS,4/19/20,20,SUBN,TOYOT,P,84730,35680,67530,20140531,70,70,70,954810,70,0,0948P,K,F,25,TENNIS COURT,,408,D,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1370164646.00,GFC8745,NY,PAS,4/19/20,46,SUBN,JEEP,P,0,0,0,20150410,67,67,164,953982,164,0,0545P,K,F,1909,AMSTERDAM AVE,,408,E2,BBBBBBB,ALL,ALL,BLK,0,1999,-,0,,,,,
1370173520.00,FXW2312,NY,PAS,4/26/20,21,SUBN,HONDA,S,0,40404,40404,20140531,72,72,0,588785,KS07,0,0806A,K,F,5909,8 TH AVE,,408,D1,YYYYYYB,0800A,0830A,BROWN,0,2002,-,0,,,,,
1356284917.00,39385MD,NY,COM,4/30/20,14,,DELV,P,16940,52090,50190,20150228,102,102,102,936849,102,0,1245A,,O,123-30,83 AVE,,408,E5,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
1371146779.00,1965384,ME,PAS,5/5/20,80,TRL,,P,32920,13820,39790,20190228,47,47,163,922227,163,0,0747P,BX,F,3454,FISH AVE,,408,K4,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1365273234.00,GXX2163,99,PAS,5/16/20,46,SDN,NISSA,X,55830,30430,48430,20151020,78,78,78,81619,78,0,0904P,K,F,1059,LIBERTY AVE,,408,F1,BBBBBBB,ALL,ALL,GRAY,0,2004,-,0,,,,,
1369834640.00,R491492,IL,PAS,5/19/20,19,SDN,TOYOT,P,28830,67830,22330,0,60,60,60,927587,60,0,1057A,,O,3123,CONEY ISLAND AVENUE,,408,F7,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1368870569.00,87650JS,NY,PAS,5/19/20,46,STAK,GMC,P,24230,29830,77730,20140731,76,76,76,952470,76,0,1112A,K,F,50,BUTLER ST,,408,F1,BBBBBBB,ALL,ALL,WHITE,0,2004,-,0,,,,,
1370700740.00,EBE1108,NY,PAS,5/19/20,74,SDN,MINI,P,35210,14510,15710,20150701,20,20,20,917978,20,0,0120A,NY,O,12,W 72ND ST,,408,F1,BBBBBBB,ALL,ALL,GR,0,2014,-,0,,,,,
1359510862.00,FMB6215,NY,PAS,8/18/20,71,SUBN,CHRYS,P,20801,20590,22960,20150721,34,34,34,928482,34,0,0926A,NY,O,17,FORT GEORGE HILL,,408,J3,BBBBBBB,ALL,ALL,GREEN,0,2001,-,0,,,,,
1358157984.00,GDR5064,NY,PAS,8/19/20,21,SUBN,TOYOT,P,33160,62200,49890,20141118,100,100,100,943166,100,0,0848A,Q,O,126,BCH 93 ST,,408,D1,YBBBBBB,0830A,1000,GR,0,2012,-,0,,,,,
1347760817.00,D745NL,FL,PAS,1/12/21,40,,CHRYS,P,0,40404,40404,0,79,79,79,939801,79,0,0335A,K,F,496,NOSTRAND,,408,F1,BBBBBBB,ALL,ALL,GRY,0,0,-,3,,,,,
1364358505.00,T629264C,NY,SRF,2/2/21,40,SUBN,DODGE,X,13930,34980,35030,20140228,66,66,66,949849,66,0,0125A,K,F,423,AVE F,,408,K6,BBBBBBB,ALL,ALL,GY,0,2009,-,0,,,,,
1361214715.00,TFA74C,NJ,PAS,2/8/21,85,TRLR,,X,56010,21090,21210,20130331,113,113,113,904659,113,0,0115A,Q,F,118-50,MONTAUK ST,,408,K6,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1367171180.00,18323JC,NY,COM,3/19/21,45,VAN,MERCU,P,45590,18730,18750,0,19,19,137,945625,137,0,0410A,NY,F,1670,YORK AVE,,408,D1,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1367051290.00,DZY5689,NY,PAS,4/2/21,40,SDN,DODGE,P,38030,93830,26630,20150522,67,67,164,952608,164,0,1133P,K,F,189,E 95 ST,,408,E2,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,,,,,
1358756600.00,2887414,ME,PAS,4/20/21,66,TRLR,,X,73720,78517,28620,20181231,47,47,47,946494,47,0,0810P,BX,F,3600,WEBSTER AVE,,408,J7,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
